company_id,year,fiscal_year,cfo_sign,cfi_sign,cff_sign,capital_allocation_pattern
ABB,Dec 2012,2012,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2014,2014,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2015,2015,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2016,2016,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2017,2017,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2018,2018,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2019,2019,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2020,2020,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2021,2021,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2022,2022,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2023,2023,positive,negative,negative,Reinvesting + Returning Capital
ABB,Mar 2024,2024,positive,negative,negative,Reinvesting + Returning Capital
ADANIENSOL,Mar 2014,2014,zero,zero,zero,Mixed / Neutral
ADANIENSOL,Mar 2015,2015,negative,negative,positive,Possible Distress Financing
ADANIENSOL,Mar 2016,2016,positive,negative,negative,Reinvesting + Returning Capital
ADANIENSOL,Mar 2017,2017,positive,negative,negative,Reinvesting + Returning Capital
ADANIENSOL,Mar 2018,2018,positive,negative,positive,Growth Funded by Financing
ADANIENSOL,Mar 2019,2019,positive,negative,positive,Growth Funded by Financing
ADANIENSOL,Mar 2020,2020,positive,negative,positive,Growth Funded by Financing
ADANIENSOL,Mar 2021,2021,positive,negative,negative,Reinvesting + Returning Capital
ADANIENSOL,Mar 2022,2022,positive,negative,negative,Reinvesting + Returning Capital
ADANIENSOL,Mar 2023,2023,positive,negative,positive,Growth Funded by Financing
ADANIENSOL,Mar 2024,2024,positive,negative,negative,Reinvesting + Returning Capital
ADANIENT,Mar 2013,2013,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2014,2014,positive,negative,negative,Reinvesting + Returning Capital
ADANIENT,Mar 2015,2015,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2016,2016,positive,negative,negative,Reinvesting + Returning Capital
ADANIENT,Mar 2017,2017,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2018,2018,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2019,2019,positive,positive,negative,Asset Sale + Debt/Dividend Outflow
ADANIENT,Mar 2020,2020,positive,negative,negative,Reinvesting + Returning Capital
ADANIENT,Mar 2021,2021,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2022,2022,positive,negative,positive,Growth Funded by Financing
ADANIENT,Mar 2023,2023,positive,negative,negative,Reinvesting + Returning Capital
ADANIENT,Mar 2024,2024,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2017,2017,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2018,2018,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2019,2019,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2020,2020,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2021,2021,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2022,2022,positive,negative,positive,Growth Funded by Financing
ADANIGREEN,Mar 2023,2023,positive,negative,negative,Reinvesting + Returning Capital
ADANIGREEN,Mar 2024,2024,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2013,2013,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2014,2014,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2015,2015,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2016,2016,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2017,2017,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2018,2018,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2019,2019,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2020,2020,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2021,2021,positive,negative,positive,Growth Funded by Financing
ADANIPORTS,Mar 2022,2022,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2023,2023,positive,negative,negative,Reinvesting + Returning Capital
ADANIPORTS,Mar 2024,2024,positive,negative,negative,Reinvesting + Returning Capital
ADANIPOWER,Mar 2013,2013,positive,negative,positive,Growth Funded by Financing
