company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
TCS,Mar-13,-,-,-,Pre-Revenue
TCS,Mar-14,-,-,-,Pre-Revenue
TCS,Mar-15,-,-,-,Pre-Revenue
TCS,Mar-16,-,-,-,Pre-Revenue
TCS,Mar-17,-,-,-,Pre-Revenue
TCS,Mar-18,-,-,-,Pre-Revenue
TCS,Mar-19,-,-,-,Pre-Revenue
TCS,Mar-20,-,-,-,Pre-Revenue
TCS,Mar-21,-,-,-,Pre-Revenue
TCS,Mar-22,-,-,-,Pre-Revenue
TCS,Mar-23,-,-,-,Pre-Revenue
TCS,Mar-24,-,-,-,Pre-Revenue
ABB,Dec 2012,-,-,-,Pre-Revenue
ABB,Mar 2014,-,-,-,Pre-Revenue
ABB,Mar 2015,-,-,-,Pre-Revenue
ABB,Mar 2016,-,-,-,Pre-Revenue
ABB,Mar 2017,-,-,-,Pre-Revenue
ABB,Mar 2018,-,-,-,Pre-Revenue
ABB,Mar 2019,-,-,-,Pre-Revenue
ABB,Mar 2020,-,-,-,Pre-Revenue
ABB,Mar 2021,-,-,-,Pre-Revenue
ABB,Mar 2022,-,-,-,Pre-Revenue
ABB,Mar 2023,-,-,-,Pre-Revenue
ABB,Mar 2024,-,-,-,Pre-Revenue
ABB,Mar 2014,-,-,-,Pre-Revenue
ABB,Mar 2015,-,-,-,Pre-Revenue
ABB,Mar 2016,-,-,-,Pre-Revenue
ABB,Mar 2017,-,-,-,Pre-Revenue
ABB,Mar 2018,-,-,-,Pre-Revenue
ABB,Mar 2019,-,-,-,Pre-Revenue
ABB,Mar 2020,-,-,-,Pre-Revenue
ABB,Mar 2021,-,-,-,Pre-Revenue
ABB,Mar 2022,-,-,-,Pre-Revenue
ABB,Mar 2023,-,-,-,Pre-Revenue
ABB,Mar 2024,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2014,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2015,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2016,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2017,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2018,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2019,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2020,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2021,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2022,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2023,-,-,-,Pre-Revenue
ADANIENSOL,Mar 2024,-,-,-,Pre-Revenue
ADANIENT,Mar 2013,-,-,-,Pre-Revenue
ADANIENT,Mar 2014,-,-,-,Pre-Revenue
ADANIENT,Mar 2015,-,-,-,Pre-Revenue
ADANIENT,Mar 2016,-,-,-,Pre-Revenue
ADANIENT,Mar 2017,-,-,-,Pre-Revenue
ADANIENT,Mar 2018,-,-,-,Pre-Revenue
ADANIENT,Mar 2019,-,-,-,Pre-Revenue
ADANIENT,Mar 2020,-,-,-,Pre-Revenue
ADANIENT,Mar 2021,-,-,-,Pre-Revenue
ADANIENT,Mar 2022,-,-,-,Pre-Revenue
ADANIENT,Mar 2023,-,-,-,Pre-Revenue
ADANIENT,Mar 2024,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2017,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2018,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2019,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2020,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2021,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2022,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2023,-,-,-,Pre-Revenue
ADANIGREEN,Mar 2024,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2013,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2013,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2014,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2014,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2015,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2015,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2016,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2016,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2017,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2017,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2018,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2018,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2019,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2019,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2020,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2020,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2021,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2021,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2022,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2022,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2023,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2023,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2024,-,-,-,Pre-Revenue
ADANIPORTS,Mar 2024,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2013,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2014,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2015,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2016,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2017,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2018,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2019,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2020,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2021,-,-,-,Pre-Revenue
ADANIPOWER,Mar 2022,-,-,-,Pre-Revenue
