company_id,cluster_id,cluster_name,distance_from_centroid
LODHA,0,Value Steadies,0.013218
RELIANCE,0,Value Steadies,0.014321
HINDALCO,0,Value Steadies,0.01875
TORNTPHARM,0,Value Steadies,0.02124
ONGC,0,Value Steadies,0.02384
TRENT,0,Value Steadies,0.029512
ATGL,0,Value Steadies,0.037
JINDALSTEL,0,Value Steadies,0.039783
GODREJCP,0,Value Steadies,0.057629
ADANIPOWER,0,Value Steadies,0.070181
GAIL,0,Value Steadies,0.086192
BPCL,0,Value Steadies,0.102105
MOTHERSON,0,Value Steadies,0.107528
BAJAJ-AUTO,0,Value Steadies,0.109291
DABUR,0,Value Steadies,0.109372
DRREDDY,0,Value Steadies,0.113364
TATACONSUM,0,Value Steadies,0.114575
ASIANPAINT,0,Value Steadies,0.119861
LTIM,0,Value Steadies,0.130256
DLF,0,Value Steadies,0.131581
NHPC,0,Value Steadies,0.133575
INFY,0,Value Steadies,0.134897
BRITANNIA,0,Value Steadies,0.135663
NESTLEIND,0,Value Steadies,0.13653
TCS,0,Value Steadies,0.137812
HCLTECH,0,Value Steadies,0.139607
COALINDIA,0,Value Steadies,0.140614
SHREECEM,0,Value Steadies,0.14086
TECHM,0,Value Steadies,0.142144
HDFCLIFE,0,Value Steadies,0.147859
IOC,0,Value Steadies,0.150959
PIDILITIND,0,Value Steadies,0.154046
SUNPHARMA,0,Value Steadies,0.156278
DMART,0,Value Steadies,0.156921
HINDUNILVR,0,Value Steadies,0.157949
HEROMOTOCO,0,Value Steadies,0.158513
EICHERMOT,0,Value Steadies,0.161943
INDIGO,0,Value Steadies,0.16205
CIPLA,0,Value Steadies,0.163734
AMBUJACEM,0,Value Steadies,0.164015
IRCTC,0,Value Steadies,0.165275
NAUKRI,0,Value Steadies,0.167336
ITC,0,Value Steadies,0.168078
BOSCHLTD,0,Value Steadies,0.16865
MARUTI,0,Value Steadies,0.168885
BAJAJHLDNG,0,Value Steadies,0.169236
DIVISLAB,0,Value Steadies,0.169308
LICI,0,Value Steadies,0.169479
ICICIGI,0,Value Steadies,0.169515
ICICIPRULI,0,Value Steadies,0.169515
JIOFIN,0,Value Steadies,0.169515
SBILIFE,0,Value Steadies,0.169515
APOLLOHOSP,0,Value Steadies,0.180028
TATAMOTORS,0,Value Steadies,0.205506
TATASTEEL,0,Value Steadies,0.222673
JSWENERGY,0,Value Steadies,0.222844
JSWSTEEL,0,Value Steadies,0.255811
POWERGRID,0,Value Steadies,0.304067
NTPC,0,Value Steadies,0.342065
M&M,0,Value Steadies,0.420005
TATAPOWER,0,Value Steadies,0.446363
ADANIENSOL,0,Value Steadies,0.491711
TVSMOTOR,0,Value Steadies,0.500601
TITAN,0,Value Steadies,0.621402
BHARTIARTL,0,Value Steadies,0.751595
HAL,1,Balanced Performers,0.709133
BHEL,1,Balanced Performers,0.713284
BEL,1,Balanced Performers,0.715313
ADANIPORTS,1,Balanced Performers,0.716576
LT,1,Balanced Performers,0.72964
HAVELLS,1,Balanced Performers,0.735689
ABB,1,Balanced Performers,0.738162
GRASIM,1,Balanced Performers,0.811438
ADANIENT,1,Balanced Performers,0.851741
SIEMENS,1,Balanced Performers,3.328466
SBIN,1,Balanced Performers,4.508057
HDFCBANK,2,Growth Leaders,1.058374
ICICIBANK,2,Growth Leaders,1.224076
INDUSINDBK,2,Growth Leaders,1.244758
AXISBANK,2,Growth Leaders,1.425133
BANKBARODA,2,Growth Leaders,1.758977
CANBK,2,Growth Leaders,2.420528
KOTAKBANK,2,Growth Leaders,3.175843
PNB,3,Quality Compounders,0.0
ADANIGREEN,4,Turnaround Watch,0.097942
RECLTD,4,Turnaround Watch,0.170212
CHOLAFIN,4,Turnaround Watch,0.453994
BAJAJFINSV,4,Turnaround Watch,0.510907
IRFC,4,Turnaround Watch,0.616197
SHRIRAMFIN,4,Turnaround Watch,0.759002
PFC,4,Turnaround Watch,0.772925
BAJFINANCE,4,Turnaround Watch,0.841361
