company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
ZYDUSLIFE,Mar 2024,20.325369621936872,27.543868624341325,18.20389461626575,0.00870561282932417,66.46913580246914,0.6216052916110157,1736.0,7.632884841663682,38.0,,8.0,190.0,3228.0,6.520884893219294,26.969209473979937,28.138071143961028,0.8124842688144979,,,,,2024,0.0405446293494705,True,10.713097138388727,,,96.93877551020408,50,76.47058823529412,85.85858585858585,92.94117647058823,85.14851485148515,92.07920792079209,50,50,50,79.23061177666385,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ICICIBANK,Mar 2024,28.8880112339828,62.41380175029464,17.990271097507648,6.445624336310825,1.3010637463735921,0.06747535915921023,12547.0,90.7350986734873,63.0,365.0,16.0,1651008.0,157284.0,17.250868502602092,51.94877118224903,55.184557391535975,3.413207178663657,Financials,ICICI Bank Ltd,Financials,Private Banks,2024,6.526373206276982,True,21.39660074377121,Private Banks,False,95.91836734693877,50,94.11764705882352,93.93939393939394,96.47058823529412,9.9009900990099,94.05940594059405,50,50,50,75.25705673808676,False,True,100.0,80.0,80.0,100.0,60.0,80.0,85.33333333333333,5.0
HDFCBANK,Mar 2024,23.072882329921843,61.412520403738434,14.33974005030719,6.808786667718384,1.4008974956974891,0.07038097917866981,35669.0,5.8523033749457944,84.0,601.0,23.0,3107503.0,19069.0,21.950984281691216,23.865063572879077,15.424788082530828,0.2913699844146319,Financials,HDFC Bank Ltd,Financials,Private Banks,2024,7.39091618930479,True,30.186956140948773,Private Banks,True,90.81632653061224,50,88.23529411764706,96.96969696969697,91.76470588235294,7.920792079207917,100.0,50,50,50,74.04821802708483,False,True,60.0,60.0,100.0,60.0,40.0,100.0,70.66666666666667,5.0
CANBK,Mar 2024,13.935160470145405,41.75390656810141,16.716051794688113,14.867419925542427,1.6109055365496054,0.0719985042520674,13296.0,1.5834381418579608,17.0,102.0,19.0,1369780.0,15046.0,18.17561078322378,85.77528500681741,53.4206382524911,0.976949548730602,Financials,Canara Bank,Financials,Public Sector Banks,2024,15.850052527737207,True,16.302939300232524,Public Sector Banks,False,93.87755102040816,50,52.94117647058824,95.95959595959596,100.0,0.0,95.04950495049505,50,50,50,70.77464018910894,False,True,66.66666666666666,50.0,100.0,100.0,0.0,75.0,70.0,4.0
UNIONBANK,Mar 2024,13.745317605802185,4.57280624850562,14.136560175413432,12.823705403799256,0.07243860867369484,0.07159506874484663,18536.0,1.3887781939905954,18.0,,20.0,1251568.0,19930.0,23.94576936693831,,,1.4445169239689788,,,,,2024,14.758882797827521,True,13.13819352004819,,,88.77551020408163,50,47.05882352941176,97.97979797979798,,0.990099009900991,97.02970297029702,50,50,50,62.52115877854292,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
VEDL,Mar 2024,5.245360996889937,24.568800573309122,20.11043533930858,2.128894579598805,3.7307976756471213,0.7005093213110759,21978.0,9.515261572286347,11.0,,259.0,79808.0,35654.0,11.222032438955033,,,4.729274439580847,,,,,2024,2.8548271596901245,True,17.75626461493056,,,98.9795918367347,50,11.76470588235294,88.88888888888889,,18.811881188118807,99.00990099009901,50,50,50,61.13892091490061,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
NAUKRI,Sep 2024,,,0.0,0.006126160620273763,,0.0,0.0,,,3225.0,,256.0,0.0,-100.0,,,,Communication Services,Info Edge (India) Ltd,Communication Services,Internet & Platforms,2024,0.008129006675038002,True,31.002640631164248,,,42.857142857142854,50,,41.91919191919192,,86.13861386138613,46.53465346534654,50,50,50,50.98377694912348,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ICICIGI,Sep 2024,,,0.0,0.0,,0.0,0.0,,,275.0,,0.0,0.0,-100.0,-100.0,,,Financials,ICICI Lombard General Insurance Company Ltd,Financials,General Insurance,2024,0.0028676771814829987,True,18.98796206427069,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,96.03960396039604,46.53465346534654,50,50,50,50.826817135495055,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
BAJAJHLDNG,Sep 2024,,,0.0,0.0007856510037945271,,0.0,0.0,,,5375.0,,47.0,0.0,-100.0,-100.0,,,Financials,Bajaj Holdings & Investment Ltd,Financials,Holding Companies,2024,0.0011613545449517945,True,55.00574158769729,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,90.0990099009901,46.53465346534654,50,50,50,50.232757729554464,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
BOSCHLTD,Sep 2024,,,0.0,0.002433663055424713,,0.0,0.0,,,4319.0,,31.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Bosch Ltd,Consumer Discretionary,Auto Ancillaries,2024,0.003232758620689655,True,19.843289373663996,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,88.11881188118812,46.53465346534654,50,50,50,50.03473792757426,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ITC,Sep 2024,,,0.0,0.004039008317168443,,0.0,0.0,,,60.0,,304.0,0.0,-100.0,-100.0,,,Consumer Staples,"ITC Ltd
",Consumer Staples,Diversified FMCG,2024,0.004066731984914169,True,12.890307004910628,FMCG,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,87.12871287128714,46.53465346534654,50,50,50,49.935728026584165,False,True,100.0,50.0,100.0,100.0,85.71428571428572,100.0,91.42857142857143,7.0
IRCTC,Sep 2024,,,0.0,0.011921657678115243,,0.0,0.0,,,44.0,,42.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Indian Railway Catering & Tourism Corporation Ltd,Consumer Discretionary,Travel & Tourism,2024,0.018575851393188854,True,76.46921430165466,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,84.15841584158416,46.53465346534654,50,50,50,49.638698323613866,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
AMBUJACEM,Sep 2024,,,0.0,0.015463712879148803,,0.0,0.0,,,205.0,,779.0,0.0,-100.0,-100.0,,,Materials,Ambuja Cements Ltd,Materials,Cement,2024,0.016861250482439208,True,10.591471422496257,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,83.16831683168317,46.53465346534654,50,50,50,49.53968842262377,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
CIPLA,Sep 2024,,,0.0,0.01625356979162994,,0.0,0.0,,,351.0,,461.0,0.0,-100.0,-100.0,,,Healthcare,"Cipla Ltd
",Healthcare,Pharmaceuticals,2024,0.02093162585186849,True,10.389755935227928,Pharmaceuticals,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,82.17821782178218,46.53465346534654,50,50,50,49.44067852163367,False,True,100.0,50.0,100.0,100.0,60.0,100.0,88.0,5.0
ABB,Sep 2024,,,0.0,0.017040613462084634,,0.0,0.0,,,1657.0,,60.0,0.0,-100.0,-100.0,,,Industrials,Abbott India Ltd,Industrials,Capital Goods,2024,0.022438496891051637,True,10.713721789385655,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,81.1881188118812,46.53465346534654,50,50,50,49.341668620643574,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
EICHERMOT,Sep 2024,,,0.0,0.021286685283734653,,0.0,0.0,,,693.0,,404.0,0.0,-100.0,-100.0,,,Consumer Discretionary,Eicher Motors Ltd,Consumer Discretionary,Two Wheelers,2024,0.023219728456636186,True,23.776441520116,Automobiles,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,78.21782178217822,46.53465346534654,50,50,50,49.044638917673275,False,True,100.0,50.0,100.0,100.0,71.42857142857143,100.0,89.52380952380952,7.0
SUNPHARMA,Sep 2024,,,0.0,0.03721334008536497,,0.0,0.0,,,288.0,,2572.0,0.0,-100.0,-100.0,,,Healthcare,Sun Pharmaceuticals Industries Ltd,Healthcare,Pharmaceuticals,2024,0.051423814535002436,True,13.126755589483485,Pharmaceuticals,True,42.857142857142854,50,,41.91919191919192,42.35294117647059,74.25742574257426,46.53465346534654,50,50,50,48.64859931371288,False,True,100.0,50.0,100.0,100.0,40.0,100.0,85.33333333333333,5.0
PIDILITIND,Sep 2024,,,0.0,0.043488238668961565,,0.0,0.0,,,171.0,,379.0,0.0,-100.0,-100.0,,,Materials,Pidilite Industries Ltd,Materials,Specialty Chemicals,2024,0.04543832520518616,True,19.2998469335665,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,72.27722772277228,46.53465346534654,50,50,50,48.45057951173268,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
