company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5y_pct,pat_cagr_5y_pct,eps_cagr_5yr,composite_quality_score,broad_sector_x,company_name,broad_sector_y,sub_sector,fiscal_year,previous_debt_to_equity,de_ratio_declining,revenue_cagr_3y_pct,peer_group_name,is_benchmark,score_roe,score_roce,score_margin,score_revenue_growth,score_profit_growth,score_debt,score_fcf,score_fcf_yield,score_pe,score_pb,composite_score,debt_free_flag,fcf_positive_flag,peer_score_roe,peer_score_margin,peer_score_revenue_growth,peer_score_profit_growth,peer_score_debt,peer_score_fcf,peer_composite_score,peer_group_size
ZYDUSLIFE,Mar 2024,20.325369621936872,27.543868624341325,18.20389461626575,0.00870561282932417,66.46913580246914,0.6216052916110157,1736.0,7.632884841663682,38.0,,8.0,190.0,3228.0,6.520884893219294,26.969209473979937,28.138071143961028,0.8124842688144979,,,,,2024,0.0405446293494705,True,10.713097138388727,,,96.93877551020408,50,76.47058823529412,85.85858585858585,92.94117647058823,85.14851485148515,92.07920792079209,50,50,50,79.23061177666385,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
SBIN,Mar 2024,15.834412974824051,-13.729168991026642,,0.0,-0.23214725721501836,,18156.0,0.7914588024745609,75.0,465.0,18.0,0.0,21632.0,11.63380022632805,83.4069542329295,90.36539387158787,0.31105934457817463,Financials,State Bank of India,Financials,Public Sector Banks,2024,0.0,False,16.450765315782267,Public Sector Banks,True,,50,58.82352941176471,89.8989898989899,98.82352941176471,96.03960396039604,96.03960396039604,50,50,50,73.39865162986887,False,True,50.0,75.0,50.0,75.0,75.0,100.0,68.33333333333333,4.0
SIEMENS,Sep 2024,12.221223021582734,13.956834532374101,17.698769290877124,0.018167610861496385,51.73333333333333,0.8790861298865568,1168.0,2.2571942446043165,76.0,431.0,16.0,279.0,1670.0,11.193358902067898,19.85339817550189,19.643850003755613,0.6144223693892568,Industrials,Siemens Ltd,Industrials,Capital Goods,2024,0.013372048597845191,False,18.998700727442852,,,94.89795918367348,50,23.52941176470588,87.87878787878788,87.05882352941177,80.19801980198021,90.0990099009901,50,50,50,72.3579797355486,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
UNITDSPR,Mar 2024,12.437063863616288,17.666283897182232,18.448637316561843,0.06787211740041929,26.315789473684212,0.9469677959012964,1344.0,1.996290080381592,19.0,,46.0,518.0,1118.0,3.9554325894609614,17.788315494227902,16.11871423331621,0.7940340909090909,,,,,2024,0.037213874455834864,False,11.664110250021874,,,97.95918367346938,50,35.294117647058826,83.83838383838383,85.88235294117646,69.3069306930693,91.0891089108911,50,50,50,72.22100379305638,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
WIPRO,Mar 2024,12.379679144385026,18.66310160427808,13.655131734172238,0.2369494691309477,13.34820717131474,0.7149229004715177,18766.0,1.2745098039215683,11.0,,5.0,19282.0,17622.0,7.982735030804554,2.6034005961500957,4.095039696925683,1.5858531317494602,,,,,2024,0.2209088591630553,False,13.165896258558462,,,86.73469387755102,50,29.411764705882355,86.86868686868688,84.70588235294117,52.475247524752476,98.01980198019803,50,50,50,69.23707088596014,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ZOMATO,Mar 2024,2.897473997028232,0.3549612019151395,1.6464959189417392,0.05436720142602496,0.5972222222222222,0.4806189248165046,298.0,2.8727092620108965,0.0,,0.0,1159.0,646.0,35.98655392622882,,,1.8404558404558404,,,,,2024,0.03669230392397002,False,82.46831928496725,,,85.71428571428571,50,5.88235294117647,100.0,,71.28712871287128,89.10891089108911,50,50,50,64.48498211165654,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
VBL,Dec 2023,13.102287602069435,23.16898335722745,,0.0,12.72945205479452,,-897.0,20.49491990276133,6.0,,16.0,0.0,2391.0,25.73551571169457,47.60541542199497,43.096908110525554,1.137488106565176,,,,,2023,0.0,False,35.49043058566919,,,,50,41.17647058823529,98.98989898989899,95.29411764705881,96.03960396039604,4.9504950495049505,50,50,50,63.3592594553573,False,False,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
AGTL,Mar 2024,,,,0.0,,,203.0,,,,,0.0,955.0,,,,,,,,,2024,0.0,False,,,,,50,,,,96.03960396039604,88.11881188118812,50,50,50,58.415841584158414,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
JIOFIN,Sep 2024,,,0.0,0.0,,0.0,0.0,,,216.0,,0.0,0.0,,,,,Financials,Jio Financial Services Ltd,Financials,Diversified Financials,2024,0.0,False,,,,42.857142857142854,50,,,,96.03960396039604,46.53465346534654,50,50,50,53.18599717114569,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
NAUKRI,Sep 2024,,,0.0,0.006126160620273763,,0.0,0.0,,,3225.0,,256.0,0.0,-100.0,,,,Communication Services,Info Edge (India) Ltd,Communication Services,Internet & Platforms,2024,0.008129006675038002,True,31.002640631164248,,,42.857142857142854,50,,41.91919191919192,,86.13861386138613,46.53465346534654,50,50,50,50.98377694912348,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
ICICIGI,Sep 2024,,,0.0,0.0,,0.0,0.0,,,275.0,,0.0,0.0,-100.0,-100.0,,,Financials,ICICI Lombard General Insurance Company Ltd,Financials,General Insurance,2024,0.0028676771814829987,True,18.98796206427069,,,42.857142857142854,50,,41.91919191919192,42.35294117647059,96.03960396039604,46.53465346534654,50,50,50,50.826817135495055,False,True,50.0,50.0,50.0,50.0,50.0,50.0,50.0,
SBILIFE,Sep 2024,,,0.0,0.0,,0.0,0.0,,,162.0,,0.0,0.0,-100.0,-100.0,,,Financials,SBI Life Insurance Company Ltd,Financials,Life Insurance,2024,0.0,False,17.235877577119997,Life Insurance,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,96.03960396039604,46.53465346534654,50,50,50,50.826817135495055,False,True,100.0,50.0,100.0,100.0,50.0,100.0,86.66666666666667,4.0
ICICIPRULI,Sep 2024,,,0.0,0.0,,0.0,0.0,,,80.0,,0.0,0.0,-100.0,-100.0,,,Financials,ICICI Prudential Life Insurance Company Ltd,Financials,Life Insurance,2024,0.10904134484325306,True,2.777335010929405,Life Insurance,False,42.857142857142854,50,,41.91919191919192,42.35294117647059,96.03960396039604,46.53465346534654,50,50,50,50.826817135495055,False,True,100.0,50.0,100.0,100.0,50.0,100.0,86.66666666666667,4.0
